
 		"DOTA_ChallengeDesc_Abaddon_"				Debuff enemy Heroes with Curse of Avernus for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_StormSpirit_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Static Remnant.
		"DOTA_ChallengeDesc_StormSpirit_"			Kill <font color='#ffffff'>%s1</font> enemy creeps with Static Remnant.
		
		"DOTA_ChallengeDesc_Sven_"

		"DOTA_ChallengeDesc_Techies_"				Debuff enemy Heroes with Reactive Tazer for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Techies_"				Hit multiple enemy Heroes with Land Mines <font color='#ffffff'>%s1</font> times.
		
		"DOTA_ChallengeDesc_TemplarAssassin_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Refraction.
		"DOTA_ChallengeDesc_TemplarAssassin_"		Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Meld.
		"DOTA_ChallengeDesc_TemplarAssassin_"		Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Meld.
		"DOTA_ChallengeDesc_TemplarAssassin_"		Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Psionic Trap.
		"DOTA_ChallengeDesc_TemplarAssassin_"		Kill <font color='#ffffff'>%s1</font> enemy creeps with Psi Blade.
		
		"DOTA_ChallengeDesc_Terrorblade_"
		
		"DOTA_ChallengeDesc_Tidehunter_"			Debuff enemy Heroes with Gush for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Tidehunter_"			Hit multiple enemy Heroes with Ravage <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Tidehunter_"			Prevent <font color='#ffffff'>%s1</font> damage from enemy Heroes with Kraken Shell.

		"DOTA_ChallengeDesc_Timbersaw_"				Hit multiple enemy Heroes with Whirling Death <font color='#ffffff'>%s1</font> times.

		"DOTA_ChallengeDesc_Tinker_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with March of the Machines.
		"DOTA_ChallengeDesc_Tinker_"				Kill <font color='#ffffff'>%s1</font> enemy creeps with March of the Machines.

		"DOTA_ChallengeDesc_Tiny_"					Kill <font color='#ffffff'>%s1</font> enemy creeps with Tree Grab.
		
		"DOTA_ChallengeDesc_TreantProtector_"		Buff allied Heroes with Living Armor for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_TreantProtector_"		Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Leech Seed.
		"DOTA_ChallengeDesc_TreantProtector_"		Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Overgrowth.

		"DOTA_ChallengeDesc_TrollWarlord_"			Heal <font color='#ffffff'>%s1</font> health with Battle Trance.

		"DOTA_ChallengeDesc_Tusk_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Walrus PUNCH!.
		"DOTA_ChallengeDesc_Tusk_"					Disjoint enemy abilities with Snowball <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Tusk_"					Hit multiple enemy Heroes with Ice Shards <font color='#ffffff'>%s1</font> times.

		"DOTA_ChallengeDesc_Underlord_"				Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Firestorm.

		"DOTA_ChallengeDesc_Undying_"				Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes while you are affected by Flesh Golem.
		"DOTA_ChallengeDesc_Undying_"				Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Soul Rip.

		"DOTA_ChallengeDesc_Ursa_"					Debuff enemy Heroes with Earthshock for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Ursa_"					Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Earthshock.
		"DOTA_ChallengeDesc_Ursa_"					Prevent <font color='#ffffff'>%s1</font> damage from enemy Heroes with Enrage.

		"DOTA_ChallengeDesc_VengefulSpirit_"		Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Wave of Terror.
		
		"DOTA_ChallengeDesc_Venomancer_"			Debuff enemy Heroes with Poison Sting for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Venomancer_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Poison Sting.
		"DOTA_ChallengeDesc_Venomancer_"			Hit multiple enemy Heroes with Noxious Plague <font color='#ffffff'>%s1</font> times.
		"DOTA_ChallengeDesc_Venomancer_"			Kill <font color='#ffffff'>%s1</font> enemy creeps with Plague Ward.

		"DOTA_ChallengeDesc_Viper_"					Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Poison Attack.

		"DOTA_ChallengeDesc_Visage_"			
		
		"DOTA_ChallengeDesc_VoidSpirit_"

		"DOTA_ChallengeDesc_Warlock_"				Debuff enemy Heroes with Upheaval for <font color='#ffffff'>%s1</font> seconds.
		"DOTA_ChallengeDesc_Warlock_"				Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Shadow Word.
		"DOTA_ChallengeDesc_Warlock_"				Hit multiple enemy Heroes with Chaotic Offering <font color='#ffffff'>%s1</font> times.

		"DOTA_ChallengeDesc_Weaver_"				Debuff enemy Heroes with The Swarm for <font color='#ffffff'>%s1</font> seconds.

		"DOTA_ChallengeDesc_Windranger_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes while you are affected by Focus Fire. 

		"DOTA_ChallengeDesc_WinterWyvern_"			Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Cold Embrace.
		"DOTA_ChallengeDesc_WinterWyvern_"			Kill <font color='#ffffff'>%s1</font> enemy Heroes with Winter's Curse.

		"DOTA_ChallengeDesc_WitchDoctor_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Death Ward.
		"DOTA_ChallengeDesc_WitchDoctor_"			Heal <font color='#ffffff'>%s1</font> health to allied Heroes with Voodoo Restoration.

		"DOTA_ChallengeDesc_WraithKing_"			Deal <font color='#ffffff'>%s1</font> damage to enemy Heroes with Mortal Strike.
		"DOTA_ChallengeDesc_WraithKing_"			Get <font color='#ffffff'>%s1</font> kills or assists on enemy Heroes that are affected by Wraithfire Blast.

		"DOTA_ChallengeDesc_Zeus_"					Kill <font color='#ffffff'>%s1</font> enemy creeps with Arc Lightning.
